"Part";"Value";"Device";"Package";"Description";"DIGIKEYPART#";"PROD_ID";"VALUE";
"C1";"10uF";"CAP_POL_AL";"PANASONIC_BMIN";"Panasonic Aluminum Electrolytic Capacitor Package B";"";"";"";
"C2";"10uF";"CAP_POL_AL";"PANASONIC_BMIN";"Panasonic Aluminum Electrolytic Capacitor Package B";"";"";"";
"C3";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";
"C4";"0.1uF";"CAP0603-CAP";"0603-CAP";"Capacitor";"";"";"";
"C7";"10uF";"CAP_POL_AL";"PANASONIC_BMIN";"Panasonic Aluminum Electrolytic Capacitor Package B";"";"";"";
"J1";"PRGM";"AVR_SPI_PRG_6PTH";"2X3";"AVR ISP 6 Pin";"";"";"";
"J2";"POWER_JACKPTH";"POWER_JACKPTH";"POWER_JACK_PTH";"Power Jack";"";"";"";
"JP1";"";"M03PTH";"1X03";"Header 3";"";"";"";
"JP4";"M02PTH";"M02PTH";"1X02";"Standard 2-pin 0.1 header. Use with";"";"";"";
"LED4";"";"LED0603";"LED-0603";"LEDs";"";"";"";
"Q1";"BSS138";"MOSFET-NCHANNELBSS123LT1G";"SOT23";"Common NMOSFET Parts";"";"TRANS-08345";"";
"Q2";"BSS138";"MOSFET-NCHANNELBSS123LT1G";"SOT23";"Common NMOSFET Parts";"";"TRANS-08345";"";
"R1";"10k";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";
"R2";"4.7k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R3";"4.7k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R4";"PHOTOCELLPTH";"PHOTOCELLPTH";"PHOTOCELL";"CdS photoresistor. This is a low cost way to detect light levels. Resistance decreases with more incoming light. SparkFun SKU: SEN-09088";"";"";"";
"R5";"10k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R6";"4.7k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R7";"4.7k";"RESISTOR0603";"0603-RES";"Resistor";"";"";"";
"R10";"270";"RESISTOR0603-RES";"0603-RES";"Resistor";"";"";"";
"STANDOFF1";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF2";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF3";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"STANDOFF4";"STAND-OFF";"STAND-OFF";"STAND-OFF";"#4 Stand Off";"";"";"";
"U$2";"XBEE-1B1";"XBEE-1B1";"XBEE-1";"Xbee module footprints";"";"";"";
"U2";"ISO7221ADR";"ISO7221ADR";"SO08";"ISO7221 Dual Channel Digital Isolator from Texas Instruments. See Datasheet for more info Datasheet";"296-21955-1-ND";"";"";
"U3";"BMP180";"BMP180";"BMP180";"BOSCH BMP180 DIGITAL BAROMETRIC PRESSURE SENSOR";"";"";"";
"U4";"NCP1117ST50T3G";"NCP1117ST50T3G";"SOT223";"NCP1117 5V, 1.0 A Low-Dropout Positive Fixed and Adjustable Voltage Regulator  Datasheet";"NCP1117ST50T3GOSCT-ND";"";"";
"U5";"LM1117MPX-3.3";"LM1117MPX-3.3";"SOT223";"3.3V Low Dropout Regulator, 0.8A output. See datasheet for more info Datasheet";"LM1117MPX-3.3/NOPBCT-ND";"";"";
"U6";"HTU21DSMD";"HTU21DSMD";"HTU21D";"";"";"";"";
"U7";"ATMEGA328P";"ATMEGA328_SMT";"TQFP32-08";"32-Pin Atmega328 part";"";"IC-09069";"ATMEGA328P";
